,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
198,north west,5332,yes,basic,doctor,feb,employed,f,68931,urban,married,66,32,30,0,7,corporate auto,corporate l2,offer2,branch,four-door car,medsize
199,central,10064,no,extended,high school or below,feb,employed,f,20440,suburban,married,128,11,54,2,9,corporate auto,corporate l3,offer3,branch,sports car,medsize
200,east,8972,no,basic,bachelor,jan,employed,m,89689,rural,divorced,74,23,4,0,2,personal auto,personal l3,offer1,branch,four-door car,large
201,west region,8197,no,basic,college,jan,unemployed,f,61613,suburban,married,110,27,87,0,3,personal auto,personal l3,offer2,agent,suv,medsize
202,north west,3514,no,extended,bachelor,feb,employed,f,73643,rural,single,89,2,2,0,1,corporate auto,corporate l3,offer2,agent,four-door car,medsize
203,west region,4293,no,basic,college,jan,unemployed,f,40056,suburban,single,61,18,15,0,8,corporate auto,corporate l3,offer1,agent,two-door car,large
204,central,3567,yes,basic,bachelor,jan,unemployed,m,79744,suburban,married,102,28,11,0,1,corporate auto,corporate l2,offer2,agent,suv,medsize
205,central,2580,yes,basic,college,feb,employed,m,46900,suburban,married,66,13,59,0,1,personal auto,personal l2,offer2,web,sports car,large
206,central,46805,no,extended,high school or below,feb,employed,m,83006,urban,married,235,8,61,1,2,personal auto,personal l1,offer3,agent,luxury suv,small
207,east,2666,no,basic,bachelor,feb,employed,f,79251,suburban,married,67,10,32,1,1,personal auto,personal l3,offer2,web,four-door car,medsize
208,west region,13057,no,basic,college,feb,unemployed,m,43171,suburban,single,190,9,67,0,7,personal auto,personal l3,offer3,branch,luxury suv,small
209,west region,5823,no,basic,high school or below,jan,employed,f,88359,rural,divorced,73,1,49,0,9,personal auto,personal l3,offer2,call center,two-door car,medsize
210,west region,9536,no,extended,bachelor,jan,employed,f,62421,suburban,divorced,80,22,50,2,2,corporate auto,corporate l3,offer1,call center,four-door car,medsize
211,central,8107,no,extended,college,jan,unemployed,m,71094,suburban,married,76,0,91,0,2,corporate auto,corporate l1,offer3,branch,two-door car,small
212,west region,3484,no,extended,bachelor,jan,employed,m,34307,rural,divorced,92,33,62,2,1,personal auto,personal l3,offer1,call center,four-door car,medsize
213,north west,34039,no,basic,college,jan,unemployed,m,95135,suburban,divorced,104,26,66,0,2,personal auto,personal l3,offer2,agent,sports car,medsize
214,east,7995,no,basic,high school or below,jan,employed,f,66685,rural,married,67,35,50,2,2,personal auto,personal l2,offer2,call center,two-door car,large
215,central,11611,no,extended,bachelor,feb,employed,m,28915,suburban,single,76,10,49,0,2,personal auto,personal l3,offer4,web,four-door car,medsize
216,central,4454,no,basic,college,feb,unemployed,f,23438,suburban,single,68,5,72,1,3,personal auto,personal l3,offer1,branch,four-door car,large
217,central,5395,no,basic,bachelor,feb,unemployed,f,30997,suburban,married,74,13,30,0,4,personal auto,personal l2,offer3,web,four-door car,medsize
218,central,8447,no,basic,bachelor,feb,employed,f,61337,rural,married,105,35,46,0,9,personal auto,personal l2,offer1,call center,suv,medsize
219,central,2927,no,basic,bachelor,feb,employed,f,75685,suburban,married,73,35,47,0,1,personal auto,personal l3,offer2,agent,four-door car,small
220,central,2960,no,extended,high school or below,feb,unemployed,f,85272,suburban,single,82,0,28,0,1,personal auto,personal l2,offer1,agent,four-door car,medsize
221,east,6582,no,basic,high school or below,feb,unemployed,f,89169,suburban,single,62,3,44,0,2,special auto,special l3,offer1,agent,four-door car,medsize
222,east,2693,no,basic,master,jan,employed,f,63684,suburban,single,68,16,87,0,1,personal auto,personal l3,offer2,agent,two-door car,medsize
223,west region,2844,no,basic,bachelor,feb,employed,m,80306,suburban,divorced,71,11,12,0,1,corporate auto,corporate l1,offer3,call center,two-door car,medsize
224,west region,6331,no,extended,bachelor,feb,unemployed,f,37975,rural,married,87,3,82,0,3,personal auto,personal l2,offer1,branch,sports car,medsize
225,central,5837,no,basic,doctor,jan,employed,m,83308,suburban,married,73,2,81,0,7,personal auto,personal l2,offer3,agent,four-door car,medsize
226,west region,4727,no,basic,bachelor,jan,unemployed,m,44305,suburban,single,72,23,7,0,3,personal auto,personal l2,offer2,call center,four-door car,medsize
227,east,4434,no,premium,high school or below,jan,employed,m,34549,rural,married,111,8,78,0,1,personal auto,personal l2,offer2,web,four-door car,medsize
228,west region,5568,yes,extended,high school or below,jan,unemployed,m,35581,suburban,single,79,21,53,1,7,corporate auto,corporate l3,offer1,agent,two-door car,medsize
229,east,7031,no,extended,master,jan,retired,m,16224,suburban,married,93,13,55,0,9,corporate auto,corporate l1,offer3,web,four-door car,medsize
230,west region,2449,no,basic,high school or below,feb,employed,m,47122,suburban,single,62,6,77,0,1,personal auto,personal l2,offer2,branch,two-door car,medsize
231,central,2504,no,basic,college,jan,unemployed,m,60282,suburban,single,69,23,15,0,1,personal auto,personal l2,offer2,branch,four-door car,medsize
232,west region,9095,yes,basic,college,jan,employed,m,37937,suburban,married,116,11,42,0,5,personal auto,personal l2,offer2,call center,suv,medsize
233,central,8071,no,basic,high school or below,feb,unemployed,m,67945,suburban,single,112,3,84,0,7,personal auto,personal l3,offer1,web,suv,small
234,north west,15032,no,basic,college,jan,medical leave,m,17150,suburban,married,65,28,19,0,2,personal auto,personal l2,offer1,agent,two-door car,medsize
235,central,8256,yes,basic,bachelor,jan,employed,f,62902,rural,married,69,14,94,0,2,personal auto,personal l3,offer2,web,two-door car,medsize
236,north west,11009,yes,premium,bachelor,jan,employed,f,51643,suburban,single,283,16,43,0,1,special auto,special l3,offer2,agent,luxury car,medsize
237,west region,5318,yes,basic,bachelor,jan,employed,f,25134,suburban,married,67,3,0,0,6,personal auto,personal l3,offer2,call center,four-door car,small
238,central,4733,no,basic,bachelor,jan,unemployed,f,13320,suburban,married,62,5,41,0,3,corporate auto,corporate l3,offer1,agent,four-door car,small
239,west region,33473,yes,basic,bachelor,jan,employed,f,33190,suburban,divorced,106,18,95,0,2,personal auto,personal l3,offer1,web,suv,medsize
240,north west,4550,no,premium,high school or below,feb,disabled,f,17913,suburban,married,116,0,39,0,1,personal auto,personal l3,offer3,web,four-door car,small
241,west region,4772,yes,extended,high school or below,feb,retired,m,20993,suburban,divorced,133,35,90,0,1,personal auto,personal l3,offer2,agent,suv,medsize
242,central,6285,no,extended,college,feb,employed,m,52210,suburban,married,80,6,74,0,9,personal auto,personal l1,offer1,branch,four-door car,medsize
243,north west,4434,no,basic,bachelor,feb,employed,f,58082,rural,married,112,31,66,1,1,personal auto,personal l3,offer1,call center,suv,medsize
244,north west,17254,no,basic,bachelor,jan,unemployed,m,50850,suburban,married,69,33,49,1,2,personal auto,personal l1,offer1,agent,four-door car,medsize
245,north west,2915,no,basic,college,jan,employed,m,86599,suburban,married,73,32,89,0,1,corporate auto,corporate l1,offer2,web,four-door car,medsize
246,north west,15762,no,basic,bachelor,feb,employed,f,44362,rural,married,66,15,75,0,2,corporate auto,corporate l3,offer2,call center,four-door car,small
247,north west,4273,no,premium,bachelor,jan,employed,f,82214,rural,married,106,11,19,1,1,personal auto,personal l1,offer3,branch,four-door car,medsize
248,central,2816,no,basic,high school or below,feb,employed,f,41228,suburban,single,71,19,13,0,1,personal auto,personal l3,offer1,branch,four-door car,small
249,central,5548,yes,basic,bachelor,jan,employed,m,67798,suburban,divorced,69,1,78,0,9,personal auto,personal l3,offer1,agent,four-door car,medsize
250,north west,32654,no,premium,bachelor,feb,unemployed,m,97936,suburban,single,153,7,75,0,2,personal auto,personal l3,offer3,branch,suv,medsize
251,central,7687,no,basic,bachelor,feb,unemployed,f,98471,suburban,divorced,109,0,5,0,3,personal auto,personal l1,offer3,call center,suv,medsize
252,central,4151,no,basic,master,feb,unemployed,f,91743,urban,single,61,11,71,1,9,personal auto,personal l2,offer1,web,two-door car,medsize
253,west region,2927,no,basic,bachelor,feb,employed,m,51991,rural,married,73,4,95,0,1,personal auto,personal l3,offer2,web,four-door car,medsize
254,west region,2943,no,extended,high school or below,jan,unemployed,f,64286,suburban,single,81,13,23,0,1,personal auto,personal l3,offer4,branch,two-door car,large
255,north west,5320,no,basic,high school or below,feb,employed,f,88669,urban,married,66,9,18,1,4,personal auto,personal l2,offer1,call center,four-door car,medsize
256,north west,4858,no,basic,high school or below,jan,unemployed,m,22702,suburban,single,67,21,79,3,3,personal auto,personal l1,offer2,branch,four-door car,medsize
257,central,7590,no,basic,high school or below,jan,disabled,m,10375,suburban,married,66,10,95,0,2,personal auto,personal l3,offer1,branch,two-door car,medsize
258,north west,4605,yes,basic,college,jan,medical leave,f,22571,suburban,single,63,29,51,0,9,corporate auto,corporate l3,offer2,web,four-door car,large
259,west region,7555,no,premium,college,feb,unemployed,m,55749,suburban,single,114,15,50,0,3,personal auto,personal l3,offer1,branch,four-door car,medsize
260,north west,9587,no,premium,bachelor,jan,employed,m,84539,rural,married,119,10,71,0,4,personal auto,personal l3,offer1,call center,four-door car,medsize
261,north west,2780,no,basic,high school or below,jan,disabled,f,20261,suburban,divorced,72,4,55,0,1,personal auto,personal l2,offer4,web,two-door car,medsize
262,north west,4784,no,basic,bachelor,jan,employed,f,25813,urban,divorced,61,8,97,0,8,personal auto,personal l1,offer3,agent,four-door car,medsize
263,north west,4873,no,extended,high school or below,feb,employed,m,47824,urban,married,129,8,56,3,1,personal auto,personal l2,offer4,agent,suv,medsize
264,north west,4786,no,basic,bachelor,jan,unemployed,f,80275,suburban,single,68,4,67,0,9,corporate auto,corporate l1,offer1,agent,four-door car,small
265,west region,15994,no,premium,bachelor,feb,unemployed,m,61248,suburban,single,159,19,75,0,2,personal auto,personal l3,offer1,web,suv,medsize
266,east,5395,no,basic,bachelor,feb,employed,f,86640,rural,married,67,2,25,0,5,personal auto,personal l1,offer2,web,four-door car,medsize
267,north west,2356,no,basic,bachelor,feb,unemployed,m,99078,suburban,married,63,22,94,0,1,personal auto,personal l3,offer1,agent,four-door car,medsize
268,east,5133,no,basic,master,feb,employed,m,53390,urban,married,64,13,41,0,5,personal auto,personal l2,offer3,branch,four-door car,medsize
269,north west,4996,no,basic,college,feb,employed,f,25915,suburban,single,64,13,62,0,7,corporate auto,corporate l3,offer1,agent,two-door car,medsize
270,central,4455,no,extended,high school or below,feb,unemployed,f,70712,suburban,married,121,16,64,0,1,personal auto,personal l3,offer4,agent,suv,medsize
271,east,3921,no,extended,college,jan,employed,f,62445,suburban,married,98,19,12,1,1,personal auto,personal l2,offer2,call center,four-door car,small
272,central,20171,no,basic,doctor,feb,employed,m,24804,suburban,married,73,19,98,0,2,personal auto,personal l2,offer3,call center,two-door car,small
273,north west,5528,yes,basic,bachelor,jan,employed,m,36088,suburban,single,72,16,31,0,9,corporate auto,corporate l3,offer1,agent,four-door car,medsize
274,west region,4077,no,basic,bachelor,jan,employed,f,53093,rural,divorced,103,3,62,0,1,corporate auto,corporate l2,offer2,call center,suv,medsize
275,central,4917,no,basic,high school or below,jan,unemployed,m,47683,suburban,single,71,27,81,0,5,personal auto,personal l3,offer1,web,two-door car,medsize
276,north west,5686,no,basic,high school or below,jan,employed,m,30242,rural,married,72,30,23,0,3,personal auto,personal l3,offer2,branch,four-door car,medsize
277,west region,8025,no,extended,college,jan,unemployed,f,83872,rural,single,77,27,26,0,2,personal auto,personal l3,offer3,branch,two-door car,large
278,north west,4165,no,premium,bachelor,jan,employed,m,58299,suburban,married,105,13,22,0,1,personal auto,personal l3,offer1,branch,four-door car,medsize
279,north west,19259,no,premium,master,jan,employed,f,35973,suburban,married,159,5,97,0,2,personal auto,personal l2,offer1,call center,sports car,large
280,central,2486,no,basic,college,feb,employed,m,36635,suburban,married,63,20,28,0,1,corporate auto,corporate l2,offer4,agent,four-door car,small
281,west region,5948,no,premium,high school or below,feb,employed,f,88122,suburban,married,148,15,10,0,1,corporate auto,corporate l2,offer2,call center,suv,medsize
282,north west,10996,no,basic,high school or below,jan,unemployed,f,35820,suburban,single,104,29,73,0,2,personal auto,personal l2,offer3,branch,suv,medsize
283,central,4803,no,basic,high school or below,feb,unemployed,m,19508,suburban,single,69,31,25,0,7,corporate auto,corporate l2,offer1,call center,four-door car,small
284,west region,7761,no,extended,college,feb,employed,f,43137,suburban,married,96,8,41,0,8,personal auto,personal l3,offer2,call center,two-door car,large
285,west region,4334,yes,extended,bachelor,feb,retired,f,23904,suburban,single,123,1,67,3,1,corporate auto,corporate l1,offer1,agent,suv,medsize
286,west region,7695,no,basic,bachelor,jan,employed,m,50147,suburban,single,101,4,37,0,3,personal auto,personal l2,offer1,branch,suv,medsize
287,west region,2397,yes,basic,high school or below,jan,retired,f,22283,suburban,divorced,65,16,93,0,1,corporate auto,corporate l3,offer1,branch,four-door car,medsize
288,central,42561,no,basic,master,jan,employed,m,66661,suburban,single,119,23,41,0,2,personal auto,personal l2,offer1,agent,suv,medsize
289,west region,7153,no,extended,bachelor,feb,employed,f,32238,suburban,divorced,91,15,80,0,4,personal auto,personal l3,offer3,branch,four-door car,medsize
290,west region,6143,no,extended,high school or below,jan,employed,f,45032,rural,married,77,13,35,0,3,personal auto,personal l2,offer2,agent,four-door car,medsize
291,central,26180,no,extended,high school or below,jan,employed,f,68189,urban,married,82,10,17,1,2,special auto,special l2,offer2,branch,four-door car,medsize
292,central,18688,no,extended,high school or below,jan,unemployed,f,29351,suburban,single,76,2,66,0,2,personal auto,personal l2,offer1,agent,four-door car,small
293,north west,7089,no,extended,high school or below,feb,employed,m,52707,suburban,married,90,33,66,1,6,corporate auto,corporate l3,offer3,branch,four-door car,medsize
294,north west,15000,no,extended,high school or below,jan,employed,f,62473,suburban,divorced,76,6,70,1,2,personal auto,personal l3,offer1,branch,suv,medsize
